2017-891,Round of 32,5,3,Mikhail Youzhny,y061,mikhail-youzhny,Saketh Myneni,me64,saketh-myneni,7,WC,64 63,2,0,12,7,0,0,2017-891-y061-me64,/en/scores/2017/891/MS028/match-stats?isLive=False
2017-891,Round of 32,5,4,Yen-Hsun Lu,l575,yen-hsun-lu,Radu Albot,a829,radu-albot,8,,62 61,2,0,12,3,0,0,2017-891-l575-a829,/en/scores/2017/891/MS019/match-stats?isLive=False
2017-891,Round of 32,5,5,Aljaz Bedene,bh09,aljaz-bedene,Guillermo Garcia-Lopez,g476,guillermo-garcia-lopez,,,63 63,2,0,12,6,0,0,2017-891-bh09-g476,/en/scores/2017/891/MS026/match-stats?isLive=False
2017-891,Round of 32,5,6,Yuki Bhambri,bf55,yuki-bhambri,Ramkumar Ramanathan,rb56,ramkumar-ramanathan,Q,WC,61 61,2,0,12,2,0,0,2017-891-bf55-rb56,/en/scores/2017/891/MS025/match-stats?isLive=False
2017-891,Round of 32,5,7,Steve Darcis,d632,steve-darcis,Nikola Mektic,mf09,nikola-mektic,,Q,62 63,2,0,12,5,0,0,2017-891-d632-mf09,/en/scores/2017/891/MS021/match-stats?isLive=False
2017-891,Round of 32,5,8,Rogerio Dutra Silva,sc73,rogerio-dutra-silva,Dusan Lajovic,l987,dusan-lajovic,,,76(2) 46 76(3),2,1,18,18,2,0,2017-891-sc73-l987,/en/scores/2017/891/MS030/match-stats?isLive=False
2017-891,Round of 32,5,9,Jozef Kovalik,kc04,jozef-kovalik,Gastao Elias,e698,gastao-elias,Q,,67(5) 64 62,2,1,18,13,0,1,2017-891-kc04-e698,/en/scores/2017/891/MS017/match-stats?isLive=False
2017-891,Round of 32,5,10,Daniil Medvedev,mm58,daniil-medvedev,Thiago Monteiro,mj08,thiago-monteiro,,,63 63,2,0,12,6,0,0,2017-891-mm58-mj08,/en/scores/2017/891/MS018/match-stats?isLive=False
2017-891,Round of 32,5,11,Renzo Olivo,o376,renzo-olivo,Casper Ruud,rh16,casper-ruud,,WC,76(3) 62,2,0,13,8,1,0,2017-891-o376-rh16,/en/scores/2017/891/MS029/match-stats?isLive=False
2017-891,Round of 32,5,12,Dudi Sela,sc56,dudi-sela,Damir Dzumhur,d923,damir-dzumhur,,,62 62,2,0,12,4,0,0,2017-891-sc56-d923,/en/scores/2017/891/MS022/match-stats?isLive=False
2017-891,2nd Round Qualifying,6,1,Hyeon Chung,ch27,hyeon-chung,Jurgen Melzer,m762,jurgen-melzer,1,PR,60 76(4),2,0,13,6,1,0,2017-891-ch27-m762,/en/scores/2017/891/QS004/match-stats?isLive=False
2017-891,2nd Round Qualifying,6,2,Yuki Bhambri,bf55,yuki-bhambri,Nicolas Kicker,kc29,nicolas-kicker,WC,2,63 61,2,0,12,4,0,0,2017-891-bf55-kc29,/en/scores/2017/891/QS005/match-stats?isLive=False
2017-891,2nd Round Qualifying,6,3,Jozef Kovalik,kc04,jozef-kovalik,Prajnesh Gunneswaran,ga94,prajnesh-gunneswaran,3,,76(2) 62,2,0,13,8,1,0,2017-891-kc04-ga94,/en/scores/2017/891/QS006/match-stats?isLive=False
2017-891,2nd Round Qualifying,6,4,Nikola Mektic,mf09,nikola-mektic,Marco Trungelliti,ta29,marco-trungelliti,AL,4,75 62,2,0,13,7,0,0,2017-891-mf09-ta29,/en/scores/2017/891/QS007/match-stats?isLive=False
2017-891,1st Round Qualifying,7,1,Hyeon Chung,ch27,hyeon-chung,Miljan Zekic,z246,miljan-zekic,1,,61 63,2,0,12,4,0,0,2017-891-ch27-z246,/en/scores/2017/891/QS008/match-stats?isLive=False
2017-891,1st Round Qualifying,7,2,Nicolas Kicker,kc29,nicolas-kicker,Sasi Kumar Mukund,mp13,sasi-kumar-mukund,2,WC,67(5) 63 75,2,1,19,15,0,1,2017-891-kc29-mp13,/en/scores/2017/891/QS010/match-stats?isLive=False
2017-891,1st Round Qualifying,7,3,Jozef Kovalik,kc04,jozef-kovalik,Franko Skugor,sf76,franko-skugor,3,,63 64,2,0,12,7,0,0,2017-891-kc04-sf76,/en/scores/2017/891/QS012/match-stats?isLive=False
